source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,notes,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude
ibnlive.in,http://ibnlive.in.com/generalnewsfeed/news/chardham-yatra-suspended-due-to-rains/752982.html,3750,07/09/2011 12:00:00 AM,,Gangotri,"Dehra Dun, Jul 9 (PTI) The 'Chardham' yatra in Garhwal Himalayas was temporarily suspended today due to inclement weather and landslides triggered by incessant rains along the yatra route.Landslides struck a number of places leading to the four shrines of Badrinath, Kedarnath, Gangotri and Yamunotri, forcing the administration to halt the pilgrimage, official sources said, adding hundreds of pilgrims were stranded in the area.The pilgrimage to the revered shrine of Badrinath was suspended by the administration after landslides occurred near Lambagad this morning.Rishikesh-Gangotri highway was also affected by landslides at Gangnani blocking movement of traffic, they said.Efforts are on to remove the debris from the roads and personnel of Border Road Organisation (BRO) have been deployed to clear them and open for vehicular traffic.The Uttarakhand government has issued an alert following heavy rains in the state for the past four days that left 10 people, including two women, dead and t",Gangotri,50km,landslide,downpour,medium,unknown,0,,,,,glc,3750,India,IN,Uttarakhand,17123,Uttarkāshi,14.8033,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,78.5925,30.7652
ibnlive.in,http://ibnlive.in.com/generalnewsfeed/news/chardham-yatra-suspended-due-to-rains/752982.html,3751,07/09/2011 12:00:00 AM,,Kedarnath,"Dehra Dun, Jul 9 (PTI) The 'Chardham' yatra in Garhwal Himalayas was temporarily suspended today due to inclement weather and landslides triggered by incessant rains along the yatra route.Landslides struck a number of places leading to the four shrines of Badrinath, Kedarnath, Gangotri and Yamunotri, forcing the administration to halt the pilgrimage, official sources said, adding hundreds of pilgrims were stranded in the area.The pilgrimage to the revered shrine of Badrinath was suspended by the administration after landslides occurred near Lambagad this morning.Rishikesh-Gangotri highway was also affected by landslides at Gangnani blocking movement of traffic, they said.Efforts are on to remove the debris from the roads and personnel of Border Road Organisation (BRO) have been deployed to clear them and open for vehicular traffic.The Uttarakhand government has issued an alert following heavy rains in the state for the past four days that left 10 people, including two women, dead and t",Kedarnath,25km,landslide,downpour,medium,unknown,0,,,,,glc,3751,India,IN,Uttarakhand,2000,Pīpalkoti,48.67682,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,79.0685,30.7331
ibnlive.in,http://ibnlive.in.com/generalnewsfeed/news/chardham-yatra-suspended-due-to-rains/752982.html,3752,07/09/2011 12:00:00 AM,,Yamunotri,"Dehra Dun, Jul 9 (PTI) The 'Chardham' yatra in Garhwal Himalayas was temporarily suspended today due to inclement weather and landslides triggered by incessant rains along the yatra route.Landslides struck a number of places leading to the four shrines of Badrinath, Kedarnath, Gangotri and Yamunotri, forcing the administration to halt the pilgrimage, official sources said, adding hundreds of pilgrims were stranded in the area.The pilgrimage to the revered shrine of Badrinath was suspended by the administration after landslides occurred near Lambagad this morning.Rishikesh-Gangotri highway was also affected by landslides at Gangnani blocking movement of traffic, they said.Efforts are on to remove the debris from the roads and personnel of Border Road Organisation (BRO) have been deployed to clear them and open for vehicular traffic.The Uttarakhand government has issued an alert following heavy rains in the state for the past four days that left 10 people, including two women, dead and t",Yamunotri,25km,landslide,downpour,medium,unknown,0,,,,,glc,3752,India,IN,Uttarakhand,7725,Barkot,30.56741,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,78.4129,31.0188
KMPH,http://kmph.com/news/local/yosemite-park-entrance-closed-due-to-rockslide,9744,01/06/2017 02:34:00 PM,,Rockslide in Yosemite,"Boulders fall on entrance to Yosemite Park, blocking the road",Entrance to Yosemite Park on Highway  40,25km,rock_fall,unknown,small,above_road,0,0,,https://pbs.twimg.com/media/CYJs_hAWkAAp0xV.jpg:large,,,,,,,,,,06/16/2017 01:34:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-119.7795082,37.67607624
Motioncars,http://motioncars.inquirer.net/49864/rains-damage-roads-bridges-cordillera-tourist-towns,9769,05/30/2017 01:34:00 PM,,Rain and Landslide damage in Cordillera Region,Landslides due to rains and flooding affect roads,Sitio Tiktik (??) in Barangay Bontoc,25km,landslide,rain,small,above_road,0,0,,,,,,,,,,,,06/16/2017 01:34:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,120.9613282,16.77787239
latino.foxnews,http://latino.foxnews.com/latino/news/2011/07/18/rainstorm-kills-6-in-northeast-brazil/,3785,07/16/2011 12:00:00 AM,,Pernambuco,"At least six people died in the torrential rains that buffeted the northeastern Brazilian state of Pernambuco over the weekend, emergency management officials said. A mudslide killed four members of a family in Camaragibe, a city in the Recife metropolitan area, the Pernambuco emergency management office said.  A man was killed by a mudslide in Recife, the capital of Pernambuco, and a 13-year-old girl died when she fell into a flooded ditch in the neighboring city of Olinda. The heavy rains, which hit the region on Saturday and Sunday, caused at least 48 mudslides in Pernambuco, affecting traffic and the delivery of some essential services. Moderate rainfall is expected this week in the region, the weather service said. About 50 cities in Pernambuco were affected by heavy rains in April and nine municipalities, where nearly 15,000 people were affected by flooding and other problems, were declared disaster areas. Landslide occurred on the 16th or 17th. Read more: http://latino.foxnews.c",Pernambuco,unknown,mudslide,downpour,medium,unknown,0,,,,,glc,3785,Brazil,BR,Pernambuco,20324,Buíque,30.61676,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-36.9541,-8.8137
Republic the Philippines Mines & Geosciences Bureau,http://r7.mgb.gov.ph/16-february-2012/,4197,02/14/2012 12:00:00 AM,,"Pulangbato, Cebu City","CEBU CITY, February 15 (PIA) --- The Mines and Geosciences Bureau (MGB)-7 reiterated its findings that portions of Barangays Busay, Binaliw, and Pulangbato in Cebu City are highly susceptible to landslides following the downpour of intense rains in Cebu. In an official report from the Regional Disaster Risk Reduction and Management Council (RDRRMC), the three mentioned barangays experienced minor landslides yesterday after the heavy downpour of rains. The barangays are located northwest of Cebu City and have steep terrains that are prone to the occurrence of landslides.","Pulangbato, Cebu City",10km,landslide,downpour,medium,unknown,0,,,,,glc,4197,Philippines,PH,Central Visayas,48638,Consolacion,4.34527,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,123.92,10.39
latino.foxnews,http://latino.foxnews.com/latino/news/2011/07/18/rainstorm-kills-6-in-northeast-brazil/,3786,07/16/2011 12:00:00 AM,,Recife,"At least six people died in the torrential rains that buffeted the northeastern Brazilian state of Pernambuco over the weekend, emergency management officials said. A mudslide killed four members of a family in Camaragibe, a city in the Recife metropolitan area, the Pernambuco emergency management office said.  A man was killed by a mudslide in Recife, the capital of Pernambuco, and a 13-year-old girl died when she fell into a flooded ditch in the neighboring city of Olinda. The heavy rains, which hit the region on Saturday and Sunday, caused at least 48 mudslides in Pernambuco, affecting traffic and the delivery of some essential services. Moderate rainfall is expected this week in the region, the weather service said. About 50 cities in Pernambuco were affected by heavy rains in April and nine municipalities, where nearly 15,000 people were affected by flooding and other problems, were declared disaster areas. Landslide occurred on the 16th or 17th. Read more: http://latino.foxnews.c",Recife,5km,mudslide,downpour,medium,unknown,1,,,,,glc,3786,Brazil,BR,Pernambuco,1478098,Recife,0.05001,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-34.8813,-8.0543
ibnlive.in,http://ibnlive.in.com/generalnewsfeed/news/two-killed-as-heavy-rains-lash-uttarakhand/759890.html,3819,07/21/2011 12:00:00 AM,,"Chamoli , Uttarakhand","Dehradun, July 21 (PTI) Two persons were killed and five injured in Uttarakhand, where incessant rains triggered landslides in Garhwal and Kumaon region, blocking several routes and disrupted normal life.Scores of pilgrims were stranded as the debris from landslides was lying on the routes to 'Chardham'-- Yamunotri, Gangotri, Kedarnath and Badrinath, officials said.One person was killed and another injured when the roof of a bus stand collapsed after overnight heavy rains in Chamoli district.In Almora, a jeep skidded off the road and fell into a gorge leaving one person dead and four others injured, they said.In several places, mud house collapsed and crops were were damaged. 16 people have died and 70 have been injured in rain related incidents during this monsoon season.","Chamoli , Uttarakhand",25km,landslide,rain,medium,unknown,1,,,,,glc,3819,India,IN,Uttarakhand,2000,Pīpalkoti,9.78584,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,79.3318,30.4043
china,http://www.china.org.cn/environment/2011-07/22/content_23044018.htm,3833,07/22/2011 12:00:00 AM,,Colima,"The Mexican authorities remained on high alert Thursday as torrential rains and sea waves over 4 meters high slammed the coastline in five states on the Pacific, causing widespread flooding and landslides.  Dora continued to be ""an extremely dangerous"" Category 4 hurricane with sustained winds reaching as much as 250 kilometers per hour and with the highest gusts measured at 305 kilometers per hour, the Miami-based U.S. National Hurricane Center (NHC) said.  The rains and winds from Dora, which was moving along Mexico's Pacific coast, were reported to cause flooding, landslides and falling trees in the Southern States of Chiapas and Gurrero and central states of Michoacan, Nayarit and Colima, an official at Mexico's National Metrological Center said.  There were no immediate reports of casualties, but emergency personal were on full alert as Dora is expected to continue to move along the coast for several more days, dumping rain on vulnerable mountain communities where soils easily s",Colima,50km,landslide,tropical_cyclone,medium,unknown,0,,Hurricane Dora,,,glc,3833,Mexico,MX,Colima,127235,Colima,0.36051,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-103.7244,19.2444
